,0,1
575,tensor(3.0263),tensor(11.5662)
576,tensor(3.0374),tensor(11.5772)
577,tensor(3.0484),tensor(11.5881)
578,tensor(3.0595),tensor(11.5991)
579,tensor(3.0705),tensor(11.6100)
580,tensor(3.0816),tensor(11.6209)
581,tensor(3.0926),tensor(11.6318)
582,tensor(3.1036),tensor(11.6427)
583,tensor(3.1147),tensor(11.6536)
584,tensor(3.1257),tensor(11.6645)
585,tensor(3.1367),tensor(11.6753)
586,tensor(3.1476),tensor(11.6862)
587,tensor(3.1586),tensor(11.6970)
588,tensor(3.1696),tensor(11.7078)
589,tensor(3.1805),tensor(11.7186)
590,tensor(3.1915),tensor(11.7294)
591,tensor(3.2024),tensor(11.7402)
592,tensor(3.2133),tensor(11.7510)
593,tensor(3.2243),tensor(11.7618)
594,tensor(3.2352),tensor(11.7725)
595,tensor(3.2461),tensor(11.7833)
596,tensor(3.2569),tensor(11.7940)
597,tensor(3.2678),tensor(11.8048)
598,tensor(3.2787),tensor(11.8155)
599,tensor(3.2895),tensor(11.8262)
600,tensor(3.3004),tensor(11.8369)
601,tensor(3.3112),tensor(11.8475)
602,tensor(3.3220),tensor(11.8582)
603,tensor(3.3328),tensor(11.8688)
604,tensor(3.3436),tensor(11.8795)
605,tensor(3.3544),tensor(11.8901)
606,tensor(3.3652),tensor(11.9007)
607,tensor(3.3759),tensor(11.9113)
608,tensor(3.3867),tensor(11.9219)
609,tensor(3.3974),tensor(11.9325)
610,tensor(3.4081),tensor(11.9430)
611,tensor(3.4188),tensor(11.9536)
612,tensor(3.4295),tensor(11.9641)
613,tensor(3.4402),tensor(11.9747)
614,tensor(3.4509),tensor(11.9852)
615,tensor(3.4616),tensor(11.9957)
616,tensor(3.4722),tensor(12.0062)
617,tensor(3.4828),tensor(12.0166)
618,tensor(3.4935),tensor(12.0271)
619,tensor(3.5041),tensor(12.0375)
620,tensor(3.5147),tensor(12.0480)
621,tensor(3.5253),tensor(12.0584)
622,tensor(3.5358),tensor(12.0688)
623,tensor(3.5464),tensor(12.0792)
624,tensor(3.5569),tensor(12.0895)
625,tensor(3.5675),tensor(12.0999)
626,tensor(3.5780),tensor(12.1103)
627,tensor(3.5885),tensor(12.1206)
628,tensor(3.5990),tensor(12.1309)
629,tensor(3.6094),tensor(12.1412)
630,tensor(3.6199),tensor(12.1515)
631,tensor(3.6303),tensor(12.1618)
632,tensor(3.6408),tensor(12.1720)
633,tensor(3.6512),tensor(12.1823)
634,tensor(3.6616),tensor(12.1925)
635,tensor(3.6720),tensor(12.2027)
636,tensor(3.6823),tensor(12.2129)
637,tensor(3.6927),tensor(12.2231)
638,tensor(3.7030),tensor(12.2333)
639,tensor(3.7133),tensor(12.2435)
640,tensor(3.7237),tensor(12.2536)
641,tensor(3.7340),tensor(12.2637)
642,tensor(3.7442),tensor(12.2738)
643,tensor(3.7545),tensor(12.2839)
644,tensor(3.7647),tensor(12.2940)
645,tensor(3.7750),tensor(12.3041)
646,tensor(3.7852),tensor(12.3141)
647,tensor(3.7954),tensor(12.3242)
648,tensor(3.8056),tensor(12.3342)
649,tensor(3.8157),tensor(12.3442)
