Timestamp,Country,Num_Flights,Num_Covid_Cases
4/5/2021,Independent State of Papua New Guinea,5,
4/5/2021,India,242,96982
4/5/2021,Indonesia,34,3712
4/5/2021,"Iran, Islamic Republic of",20,
4/5/2021,Ireland,22,318
4/5/2021,Israel,55,356
4/5/2021,Italy,185,10680
4/5/2021,Jamaica,8,350
4/5/2021,Japan,698,1571
4/5/2021,Jordan,13,6537
4/5/2021,Kazakhstan,87,1816
4/5/2021,Kenya,1,460
4/5/2021,Korea,327,
4/5/2021,Kuwait,18,1357
4/5/2021,Latvia,35,119
4/5/2021,Lebanon,27,1001
4/5/2021,Libya,9,1148
4/5/2021,Luxembourg,85,0
4/5/2021,"Macao SAR, China",27,
4/5/2021,Malaysia,31,1070
4/5/2021,Malta,14,56
4/5/2021,Mauritius,2,8
4/5/2021,Mexico,424,1247
4/5/2021,"Moldova, Republic of",5,
4/5/2021,Mongolia,1,831
4/5/2021,Morocco,34,132
4/5/2021,Mozambique,1,108
4/5/2021,Netherlands,274,5539
4/5/2021,New Caledonia,1,
4/5/2021,New Zealand,476,17
4/5/2021,Norway,133,573
4/5/2021,Oman,2,1117
4/5/2021,Pakistan,39,3953
4/5/2021,Panama,73,179
4/5/2021,Peru,116,7842
4/5/2021,Philippines,29,8347
4/5/2021,Poland,118,9921
4/5/2021,Portugal,122,159
4/5/2021,Qatar,357,910
4/5/2021,Romania,46,3611
4/5/2021,Russian Federation,957,8525
4/5/2021,Saudi Arabia,95,695
4/5/2021,Serbia,5,3706
4/5/2021,Seychelles,1,0
4/5/2021,Singapore,104,17
4/5/2021,South Africa,69,452
4/5/2021,Spain,309,10360
4/5/2021,Sri Lanka,17,159
4/5/2021,Suriname,1,11
4/5/2021,Sweden,255,0
4/5/2021,Switzerland,89,0
4/5/2021,Syrian Arab Republic,1,
4/5/2021,"Tanzania, United Republic of",15,
4/5/2021,Thailand,45,194
4/5/2021,Tunisia,23,1133
4/5/2021,Turkey,1206,42551
4/5/2021,Ukraine,51,10300
4/5/2021,United Arab Emirates,335,2012
4/5/2021,United Kingdom,122,2831
4/5/2021,United States,7426,69431
4/5/2021,Uzbekistan,22,179
4/5/2021,Vietnam,211,6
4/6/2021,Algeria,28,140
4/6/2021,Angola,1,168
4/6/2021,Argentina,22,20870
4/6/2021,Australia,310,14
4/6/2021,Austria,43,1935
4/6/2021,Azerbaijan,7,2035
4/6/2021,Bahrain,66,1020
4/6/2021,Bangladesh,20,7213
4/6/2021,Belarus,50,968
4/6/2021,Belgium,58,1709
4/6/2021,Bolivia,2,1498
4/6/2021,Brazil,280,85132
4/6/2021,Brunei Darussalam,6,
4/6/2021,Bulgaria,10,0
4/6/2021,Canada,177,10704
4/6/2021,Cape Verde,2,
4/6/2021,Chile,24,5168
4/6/2021,China (People's Republic of),2230,19
4/6/2021,Chinese Taipei,217,2
4/6/2021,Colombia,127,11827
4/6/2021,Croatia,25,735
4/6/2021,Cuba,2,1030
4/6/2021,Czech Republic,5,1425
4/6/2021,Egypt,42,778
4/6/2021,El Salvador,9,0
4/6/2021,Ethiopia,61,2054
4/6/2021,Fiji,1,0
4/6/2021,Finland,64,360
4/6/2021,France,357,8056
4/6/2021,French Polynesia,8,
4/6/2021,Georgia,4,897
4/6/2021,Germany,643,7593
4/6/2021,Greece,48,4293
4/6/2021,"Hong Kong SAR, China",50,
4/6/2021,Iceland,16,16
4/6/2021,Independent State of Papua New Guinea,13,
4/6/2021,India,239,115736
4/6/2021,Indonesia,47,4549
4/6/2021,"Iran, Islamic Republic of",25,
4/6/2021,Ireland,13,441
4/6/2021,Israel,36,317
4/6/2021,Italy,214,7763
4/6/2021,Jamaica,7,315
4/6/2021,Japan,709,2666
4/6/2021,Jordan,11,6005
4/6/2021,Kazakhstan,95,2080
4/6/2021,Kenya,9,394
4/6/2021,Korea,336,
4/6/2021,Kuwait,26,1403
4/6/2021,Latvia,17,309
4/6/2021,Lebanon,24,2296
4/6/2021,Libya,5,876
4/6/2021,Luxembourg,69,520
4/6/2021,"Macao SAR, China",24,
